text,label,anger,disgust,fear,joy,sadness,surprise
“Worry is a down payment on a problem you may never have'.  Joyce Meyer.  #motivation #leadership #worry,['joy'],0,0,0,1,0,0
Whatever you decide to do make sure it makes you #happy.,['joy'],0,0,0,1,0,0
"@Max_Kellerman  it also helps that the majority of NFL coaching is inept. Some of Bill O'Brien's play calling was wow, ! #GOPATS","['anger', 'joy', 'disgust']",1,1,0,1,0,0
Accept the challenges so that you can literally even feel the exhilaration of victory.' -- George S. Patton 🐶,['joy'],0,0,0,1,0,0
My roommate: it's okay that we can't spell because we have autocorrect. #terrible #firstworldprobs,"['anger', 'disgust']",1,1,0,0,0,0
No but that's so cute. Atsu was probably shy about photos before but cherry helped her out uwu,['joy'],0,0,0,1,0,0
Do you think humans have the sense for recognizing impending doom? ,['sadness'],0,0,0,0,1,0
"Rooneys fucking untouchable isn't he? Been fucking dreadful again, depay has looked decent(ish)tonight","['anger', 'disgust']",1,1,0,0,0,0
it's pretty depressing when u hit pan on ur favourite highlighter,"['sadness', 'disgust']",0,1,0,0,1,0
@BossUpJaee but your pussy was weak from what I heard so stfu up to me bitch . You got to threaten him that your pregnant .,"['anger', 'disgust']",1,1,0,0,0,0
Making that yearly transition from excited and hopeful college returner to sick and exhausted pessimist. #college,"['sadness', 'disgust']",0,1,0,0,1,0
And it's hard to dance with a devil on your back\nSo shake him off.,['neutral'],0,0,0,0,0,0
Tiller and breezy should do a collab album. Rapping and singing prolly be fire,['joy'],0,0,0,1,0,0
S/O to the girl that just hit my car...not only did she get lucky w/ no scratch but also from being spared the wrath of sleep deprived Kait🙃,"['anger', 'sadness']",1,0,0,0,1,0
@bt_uk broadband is shocking regretting signing up now #angry #shouldofgonewithvirgin,"['anger', 'disgust']",1,1,0,0,0,0
People you need to look up the definition of protest. What you are doing is not protesting is called vandalism. #angry #stop,"['sadness', 'anger', 'disgust']",1,1,0,0,1,0
@BitchestheCat Look at those teef! #growl,"['fear', 'anger', 'disgust']",1,1,1,0,0,0
Star trek online has a update to download oh fuming yay,"['sadness', 'anger', 'joy', 'disgust']",1,1,0,1,1,0
"The bitter the battle, the sweeter the victory...",['joy'],0,0,0,1,0,0
i cant stop. i finished - dejected. luckily no one is in the bathroom. so i go to a stall and wait until my pants are dry.,"['sadness', 'anger', 'disgust']",1,1,0,0,1,0
@NHLexpertpicks @usahockey USA was embarrassing to watch. When was the last time you guys won a game..? #horrible #joke,"['anger', 'disgust']",1,1,0,0,0,0
#NewYork: Several #Baloch &amp; Indian activists hold demonstrations outside @UN headquarters demanding Pak to stop exporting #terror into India,"['fear', 'sadness']",0,0,1,0,1,0
Awareness of time is awareness of time lost. #awareness #time ,['joy'],0,0,0,1,0,0
Your glee filled Normy dry humping of the most recent high profile celebrity break up is pathetic &amp; all that is wrong with the world today.,"['anger', 'disgust']",1,1,0,0,0,0
@zorefx you guys will see what i did in the next video but its fucking horrid,"['sadness', 'fear', 'anger', 'disgust']",1,1,1,0,1,0
What a fucking muppet.  @jRwild1  #stalker.,"['anger', 'disgust']",1,1,0,0,0,0
@adamrodricks I like your optimism!,['joy'],0,0,0,1,0,0
My cat is bloody lucky the RSPCA weren't open at 3am last night!!! #fuming 😡🐱,"['anger', 'joy', 'disgust']",1,1,0,1,0,0
@FaithHill I remember it well #happy #afraid #Positive,"['fear', 'joy']",0,0,1,1,0,0
Autocorrect changes ''em' to 'me' which I resent greatly,"['anger', 'disgust']",1,1,0,0,0,0
"I mean I'm not done watching the pilot, but it's nice to see a group of actors perform without story lines dripping relentless nihilism.","['anger', 'joy', 'disgust']",1,1,0,1,0,0
@WaterboysAS I would never strategically vote for someone I don't agree with. A lot of the Clinton vote based on fear and negativity.,"['fear', 'anger', 'disgust']",1,1,1,0,0,0
@RogueCoder250 We are in so much trouble!! I don't think the Rev will see the funny side of our project. ,"['fear', 'joy', 'sadness']",0,0,1,1,1,0
@Jen_ny69 People will always get offended everyone's situation is different! Just because we have kids doesn't mean we have to settle,"['sadness', 'anger', 'disgust']",1,1,0,0,1,0
You have to find a way to top yourself. #glee,['joy'],0,0,0,1,0,0
@Aliki111 Haters!!! You are low in self worth. Self righteous in your delusions. You cower at the thought of change. Change is inevitable.,"['anger', 'disgust']",1,1,0,0,0,0
#smile every morning to a positive head start with your #clients relations,['joy'],0,0,0,1,0,0
I saved him after ordering him to risk his life. I didn't panic but stayed calm and rescued him.,['joy'],0,0,0,1,0,0
@SlaveGuinevere its more of a little prick than a sting .......... but you have to come to Tennessee to get it1,['neutral'],0,0,0,0,0,0
@imtarakate Uggh that's really horrible. You're not a bad person by any stretch of the imagination. I hope this person realizes that.,"['fear', 'joy', 'disgust']",0,1,1,1,0,0
All the young people are so bitter about how the older contestants probably know how to make Bakewell Tarts 😂 #GBBO,"['sadness', 'anger', 'joy', 'disgust']",1,1,0,1,1,0
